Year,March,April,May,June,July,August,September,October,November
1972,-3590,-2590,-410,-1395,-400,-2890,-1370,-600,-2440
1973,-1300,-100,-1500,-2560,-2185,-700,-250,-3350,-3300
1974,-4399,-1295,-3585,-1090,-300,-2240,-1850,-140,-2572
1975,-1410,-200,-600,-2830,-100,-820,-210,-610,-1180
1976,-1390,-950,-40,-1620,-1210,-70,-660,-3085,-1350
1977,-1940,-1490,-60,-30,-420,-35,-350,-1180,-1650
1978,-100,-840,-300,-1850,-830,-1410,-1180,-180,-2400
1979,-300,-100,-2100,-1305,-1510,-1790,-670,-1170,-1220
1980,-1700,-250,-2690,-1855,-850,-1300,-110,-200,-700
1981,-455,-30,-405,-1130,-565,-70,-590,-335,-650
1982,-2140,-385,-420,-700,-2085,-940,-340,-390,-1020
1983,-2300,-100,-1200,-1910,-1360,-1080,-155,-920,-1700
1984,-100,-100,-700,-1140,-3485,-2800,-1535,-265,-750
1985,-2000,-30,-110,-440,-275,-750,-255,-260,-1700
1986,-2455,-845,-45,-260,-115,-165,-480,-615,-180
1987,-450,-1200,-400,-2790,-690,-810,-200,-120,-108
1988,-188,-535,-150,-1080,-40,-230,-1060,-1550,-1420
1989,-2600,-1310,-200,-470,-2600,-1960,-3235,-235,-2370
1990,-2900,-100,-400,-535,-1960,-595,-100,-950,-2585
1991,-4950,-200,-20,-440,-960,-1040,-550,-100,-1375
1992,-2180,-100,-145,-685,-3620,-595,-770,-400,-1820
1993,-100,-150,-130,-90,-1800,-120,-90,-1260,-200
1994,-100,-400,-40,-25,-195,-1400,-570,-890,-695
1995,-20,-40,-20,-35,-350,-705,-230,-650,-2105
1996,-1520,-390,-410,-135,-280,-850,-600,-412.5,-90
1997,-1400,-100,-410,-30,-1755,-820,-190,-600,-2130
1998,-350,-300,-100,-1000,-330,-275,-545,-560,-160
1999,-220,-80,-45,-70,-500,-260,-135,-15,-50
2000,-1030,-30,-585,-90,-1700,-770,-1740,-105,-895
2001,-1465,-615,-50,-575,-830,-470,-1030,-435,-1050
2002,-15,-10,-25,-10,-130,-55,-10,-540,-10
2003,-350,-400,-1100,-100,-300,-200,-140,-20,-675
2004,-780,-100,-35,-285,-495,-360,-545,-800,-110
2005,-65,-130,-30,-20,-480,-260,-470,-740,-540
2006,-10,-20,-25,-80,-1780,-345,-980,-110,-530
2007,-340,-600,-20,-60,-200,-615,-100,-1830,-1015
2008,-30,-100,-200,-115,-1755,-795,-50,-240,-150
2009,-290,-50,-165,-200,-760,-70,-390,-365,-625
2010,-590,-185,-60,-90,-885,-330,-390,-235,-740
2011,-50,-270,-70,-50,-160,-220,-1000,-320,-700
2012,-40,-210,-85,-50,-670,-620,-500,-380,-1030
2013,-50,-100,-120,-390,-210,-1175,-500,-215,-60
2014,-550,-400,-700,-330,-800,-820,-1110,-70,-110
2015,-300,-200,-200,-155,-610,-80,-155,-190,-90
2016,-300,-150,-250,-415,-1120,-1250,-400,-570,-400
2017,-80,-60,-350,-1145,-310,-140,-870,-2120,-490
2018,-80,-100,-740,-640,-885,-1380,-445,-120,-30
2019,-2000,-1700,-805,-400,-260,-1040,-1050,-2200,-400
2020,-180,-185,-270,,,,,,
