date,inflow
7/1/52,3443
7/2/52,3594
7/3/52,3179
7/4/52,2887
7/5/52,2362
7/6/52,3849
7/7/52,4029
7/8/52,8192
7/9/52,15379
7/10/52,10623
7/11/52,6467
7/12/52,4239
7/13/52,3765
7/14/52,3129
7/15/52,2625
7/16/52,2514
7/17/52,3200
7/18/52,3844
7/19/52,4339
7/20/52,3592
7/21/52,2846
7/22/52,2660
7/23/52,2473
7/24/52,2710
7/25/52,2573
7/26/52,2387
7/27/52,2275
7/28/52,2298
7/29/52,3107
7/30/52,2613
7/31/52,3429
8/1/52,5774
8/2/52,5479
8/3/52,5940
8/4/52,3286
8/5/52,5214
8/6/52,3714
8/7/52,5882
8/8/52,7929
8/9/52,7429
8/10/52,16353
8/11/52,20073
8/12/52,11401
8/13/52,6354
8/14/52,4510
8/15/52,4215
8/16/52,4215
8/17/52,5985
8/18/52,5690
8/19/52,5690
8/20/52,5690
8/21/52,8387
8/22/52,7127
8/23/52,5438
8/24/52,5100
8/25/52,4424
8/26/52,2824
8/27/52,4027
8/28/52,2843
8/29/52,3046
8/30/52,3113
8/31/52,11079
9/1/52,32141
9/2/52,39161
9/3/52,52629
9/4/52,27062
9/5/52,8839
9/6/52,5861
9/7/52,5095
9/8/52,4468
9/9/52,3984
9/10/52,3808
9/11/52,4158
9/12/52,4126
9/13/52,3668
9/14/52,3584
9/15/52,3048
9/16/52,3525
9/17/52,3143
9/18/52,3143
9/19/52,3334
9/20/52,3239
9/21/52,3372
9/22/52,4072
9/23/52,4245
9/24/52,4109
9/25/52,3538
9/26/52,3328
9/27/52,3119
9/28/52,2928
9/29/52,2705
9/30/52,2672
10/1/52,2572
10/2/52,2572
10/3/52,2572
10/4/52,2431
10/5/52,2236
10/6/52,2269
10/7/52,2342
10/8/52,2342
10/9/52,3423
10/10/52,3796
10/11/52,3581
10/12/52,3772
10/13/52,3391
10/14/52,3167
10/15/52,2953
10/16/52,2667
10/17/52,2858
10/18/52,2762
10/19/52,2286
10/20/52,2476
10/21/52,2381
10/22/52,2482
10/23/52,2458
10/24/52,2699
10/25/52,2569
10/26/52,2569
10/27/52,2863
10/28/52,2667
10/29/52,2276
10/30/52,2374
10/31/52,2502
11/1/52,2511
11/2/52,2612
11/3/52,2813
11/4/52,3214
11/5/52,2158
11/6/52,2717
11/7/52,2777
11/8/52,2777
11/9/52,1739
11/10/52,2777
11/11/52,3816
11/12/52,2838
11/13/52,2838
11/14/52,1669
11/15/52,6948
11/16/52,3812
11/17/52,5117
11/18/52,4698
11/19/52,3499
11/20/52,36453
11/21/52,32597
11/22/52,26894
11/23/52,16234
11/24/52,11080
11/25/52,6347
11/26/52,5729
11/27/52,3990
11/28/52,5311
11/29/52,2819
11/30/52,4333
12/1/52,3588
12/2/52,4753
12/3/52,4339
12/4/52,4375
12/5/52,4011
12/6/52,5610
12/7/52,4712
12/8/52,4764
12/9/52,4409
12/10/52,5159
12/11/52,14126
12/12/52,19213
12/13/52,15239
12/14/52,8127
12/15/52,6871
12/16/52,5778
12/17/52,4871
12/18/52,4624
12/19/52,4141
12/20/52,4769
12/21/52,4844
12/22/52,5093
12/23/52,4712
12/24/52,4702
12/25/52,4610
12/26/52,4174
12/27/52,3460
12/28/52,4015
12/29/52,3963
12/30/52,3355
12/31/52,11208
1/1/53,13666
1/2/53,14980
1/3/53,12125
1/4/53,8314
1/5/53,6728
1/6/53,5775
1/7/53,5888
1/8/53,6990
1/9/53,9124
1/10/53,20513
1/11/53,26551
1/12/53,20191
1/13/53,12393
1/14/53,8194
1/15/53,7098
1/16/53,6453
1/17/53,5908
1/18/53,5488
1/19/53,5450
1/20/53,5405
1/21/53,6733
1/22/53,8831
1/23/53,12613
1/24/53,28238
1/25/53,28013
1/26/53,23714
1/27/53,12524
1/28/53,9492
1/29/53,8505
1/30/53,7917
1/31/53,7161
2/1/53,5879
2/2/53,6083
2/3/53,5817
2/4/53,5804
2/5/53,5243
2/6/53,5203
2/7/53,9040
2/8/53,11920
2/9/53,11048
2/10/53,7240
2/11/53,7250
2/12/53,7563
2/13/53,7483
2/14/53,7574
2/15/53,24852
2/16/53,24579
2/17/53,23468
2/18/53,15294
2/19/53,10425
2/20/53,8559
2/21/53,16598
2/22/53,32473
2/23/53,41377
2/24/53,22449
2/25/53,12705
2/26/53,10811
2/27/53,9283
2/28/53,7766
3/1/53,7148
3/2/53,9273
3/3/53,11626
3/4/53,18841
3/5/53,22656
3/6/53,28303
3/7/53,16237
3/8/53,11858
3/9/53,10657
3/10/53,7705
3/11/53,8755
3/12/53,10790
3/13/53,13481
3/14/53,15255
3/15/53,14477
3/16/53,18571
3/17/53,20269
3/18/53,14430
3/19/53,10700
3/20/53,8706
3/21/53,9536
3/22/53,7668
3/23/53,8279
3/24/53,29893
3/25/53,44488
3/26/53,46832
3/27/53,25218
3/28/53,15970
3/29/53,13941
3/30/53,9381
3/31/53,8652
4/1/53,7867
4/2/53,7193
4/3/53,6729
4/4/53,7189
4/5/53,5931
4/6/53,7020
4/7/53,9558
4/8/53,9796
4/9/53,9129
4/10/53,8252
4/11/53,6160
4/12/53,11123
4/13/53,19165
4/14/53,15516
4/15/53,11796
4/16/53,10222
4/17/53,7714
4/18/53,8477
4/19/53,6700
4/20/53,6125
4/21/53,4857
4/22/53,5448
4/23/53,5401
4/24/53,4722
4/25/53,5342
4/26/53,5911
4/27/53,4818
4/28/53,5283
4/29/53,5030
4/30/53,8749
5/1/53,7237
5/2/53,7901
5/3/53,6075
5/4/53,5868
5/5/53,5846
5/6/53,5764
5/7/53,5424
5/8/53,6320
5/9/53,6607
5/10/53,5757
5/11/53,5402
5/12/53,4616
5/13/53,4706
5/14/53,3774
5/15/53,4136
5/16/53,3896
5/17/53,4172
5/18/53,3362
5/19/53,5190
5/20/53,5840
5/21/53,8803
5/22/53,7118
5/23/53,4122
5/24/53,4658
5/25/53,4044
5/26/53,3686
5/27/53,2782
5/28/53,2564
5/29/53,2634
5/30/53,2376
5/31/53,2822
6/1/53,4138
6/2/53,2312
6/3/53,2034
6/4/53,2054
6/5/53,2292
6/6/53,2280
6/7/53,2584
6/8/53,3484
6/9/53,5008
6/10/53,2816
6/11/53,4224
6/12/53,9361
6/13/53,7591
6/14/53,4974
6/15/53,3602
6/16/53,2806
6/17/53,11894
6/18/53,7947
6/19/53,9125
6/20/53,5980
6/21/53,3808
6/22/53,3277
6/23/53,4389
6/24/53,5537
6/25/53,4027
6/26/53,2929
6/27/53,5616
6/28/53,5596
6/29/53,3800
6/30/53,5468
7/1/53,3236
7/2/53,2546
7/3/53,2993
7/4/53,2471
7/5/53,4185
7/6/53,2866
7/7/53,4281
7/8/53,3684
7/9/53,3143
7/10/53,2222
7/11/53,2398
7/12/53,1720
7/13/53,1357
7/14/53,2097
7/15/53,1584
7/16/53,1634
7/17/53,1588
7/18/53,1300
7/19/53,4369
7/20/53,935
7/21/53,1718
7/22/53,1688
7/23/53,1598
7/24/53,1628
7/25/53,2262
7/26/53,1988
7/27/53,1252
7/28/53,1222
7/29/53,1134
7/30/53,1402
7/31/53,954
8/1/53,657
8/2/53,4021
8/3/53,3522
8/4/53,2085
8/5/53,2143
8/6/53,1364
8/7/53,1356
8/8/53,2777
8/9/53,3569
8/10/53,1151
8/11/53,1739
8/12/53,1516
8/13/53,1809
8/14/53,743
8/15/53,954
8/16/53,865
8/17/53,1304
8/18/53,1451
8/19/53,1194
8/20/53,1364
8/21/53,1747
8/22/53,1390
8/23/53,1251
8/24/53,791
8/25/53,1037
8/26/53,987
8/27/53,736
