Year,March,April,May,June,July,August,September,October,November
1972,14200,17600,19600,23700,23500,18000,13000,19900,20000
1973,19700,19600,19800,13200,16000,17800,13900,19600,19600
1974,14000,17700,15700,14700,19400,13600,19400,10600,11100
1975,35300,35600,15700,18900,19400,18700,19200,14000,19300
1976,12800,9730,9020,8950,9720,7990,12700,19300,13400
1977,11500,18700,14400,3070,9900,5610,7950,18700,18900
1978,18700,26100,35300,18700,12800,10200,9650,10200,16400
1979,25800,18900,18600,14600,10900,12300,19400,7960,9000
1980,18100,18400,18100,14000,10700,12300,5740,25200,19900
1981,4960,9880,8980,10600,9360,7210,5750,5750,8980
1982,17500,12600,11600,18200,15100,11300,8090,4540,9210
1983,20400,26000,25800,15100,10200,7310,3100,7420,11700
1984,20100,20300,20200,15200,17900,17900,12400,5580,17200
1985,14300,3620,8110,8620,7430,19100,7480,11500,10900
1986,15800,10900,6510,5590,6160,6220,11700,9120,20700
1987,25600,35600,35300,18700,14600,8430,20300,6970,7730
1988,12300,9950,10200,14800,8090,7220,9700,12400,12200
1989,20800,20600,20800,18600,19400,15600,20300,4810,12200
1990,19900,20500,19900,19500,15300,15300,4950,20600,15900
1991,20100,20300,9530,14300,8740,8910,6260,20500,20300
1992,20400,20500,20500,19900,11200,13900,6360,7350,11500
1993,35400,35300,20200,12300,12200,5910,3360,10400,10200
1994,20300,25300,11300,5490,11700,13600,7500,7570,12000
1995,8720,6830,4700,19200,25300,14900,7200,5500,10400
1996,18500,13800,12300,19400,11600,14600,36000,13700,13400
1997,21600,22300,22600,12200,10200,7230,4130,19800,13500
1998,35400,24900,19100,18500,7750,8260,6080,6070,8320
1999,12000,8690,6600,5890,11300,5700,17900,5410,4320
2000,9690,18600,18600,9430,8610,10300,12600,13700,8260
2001,12700,18300,7290,9900,10800,7090,7560,4930,6350
2002,2010,2030,2850,2720,4160,3170,2590,4450,2120
2003,28400,34500,28000,24600,24500,19700,20200,3190,19700
2004,8690,14900,8200,9410,6970,19700,15500,20100,8390
2005,19600,19000,7670,8900,8680,7620,7220,13100,9210
2006,5170,4170,4390,8190,18100,8770,8200,4240,4730
2007,20300,21700,6320,8110,5140,9070,3780,15000,15400
2008,3840,12300,12500,6820,10400,6140,11000,4210,3300
2009,19300,10800,10800,20800,8300,6550,7360,4910,4120
2010,20800,20800,7480,10300,6860,4280,7720,3560,20800
2011,11500,13900,9770,7340,10000,8870,7120,10700,9500
2012,20600,20400,6410,5600,6310,10900,6940,4970,9190
2013,8140,10400,15800,21000,20600,9110,5440,6160,2550
2014,21300,21400,21700,9870,5740,8070,14300,5550,8300
2015,15300,21700,12800,8020,10300,7970,8230,10700,9770
2016,20800,9740,21800,11900,19700,13500,5050,21300,20600
2017,3600,33700,34300,27800,7850,4840,5290,25000,9340
2018,15400,20700,28900,16200,12400,17800,28800,4700,3840
2019,35200,18400,13500,21500,8940,8680,5600,34800,35400
2020,9600,15800,35100,,,,,,
