Year,March,April,May,June,July,August,September,October,November
1972,63,101,138,182,183,215,258,298,316
1973,83,103,129,164,191,242,269,281,335
1974,85,108,129,162,190,234,259,278,315
1975,91,105,122,156,197,220,271,277,332
1976,72,114,126,161,194,235,260,276,333
1977,83,99,124,177,194,244,263,302,314
1978,66,121,122,153,206,227,263,298,317
1979,71,95,125,158,194,214,268,301,332
1980,91,120,122,154,199,218,266,289,310
1981,77,104,133,166,191,240,255,289,333
1982,72,98,128,165,198,232,257,303,314
1983,84,116,126,154,194,221,256,288,322
1984,66,105,126,159,213,214,255,301,335
1985,66,101,149,162,197,242,254,304,320
1986,72,108,142,168,200,240,270,285,326
1987,70,115,125,155,203,219,261,278,325
1988,70,104,152,174,199,222,258,289,331
1989,84,104,132,173,201,215,273,288,324
1990,82,110,150,161,199,241,272,282,328
1991,91,92,130,181,213,241,261,301,309
1992,71,116,123,163,196,232,254,291,331
1993,91,98,126,169,189,244,274,289,321
1994,84,99,125,153,189,231,259,299,335
1995,68,95,134,182,193,215,257,301,333
1996,61,95,137,166,195,234,255,279,309
1997,75,121,135,171,191,228,256,280,327
1998,87,92,137,153,203,238,274,282,320
1999,64,101,132,153,191,214,260,275,330
2000,77,119,122,172,208,244,256,275,308
2001,87,98,152,158,194,220,255,285,307
2002,62,119,138,179,207,224,260,277,335
2003,91,116,122,173,184,225,272,293,325
2004,61,107,133,180,183,230,254,275,318
2005,90,92,127,168,196,228,270,299,329
2006,62,121,126,181,194,243,262,305,328
2007,78,114,122,171,191,222,270,289,335
2008,91,107,141,158,205,227,259,298,331
2009,64,119,122,161,211,241,272,280,316
2010,64,100,122,169,211,239,271,276,329
2011,80,111,132,168,194,243,258,275,308
2012,91,92,138,153,191,238,263,285,327
2013,81,110,132,165,192,222,263,300,306
2014,74,107,123,153,183,235,253,281,335
2015,71,115,122,178,190,239,274,290,331
2016,65,92,141,182,197,223,267,278,319
2017,91,120,126,155,195,243,265,295,314
2018,65,121,147,153,184,219,273,305,332
2019,66,92,124,169,213,214,260,298,334
2020,63,107,150,,,,,,
