Year,March,April,May,June,July,August,September,October,November
1972,8200,8405,19400,9050,19700,8640,2545,10800,19800
1973,14500,19500,14500,9425,8160,8540,2210,13500,14200
1974,6300,14550,10500,5840,2310,4300,14050,2080,3365
1975,18800,35100,6550,8155,18500,11600,3850,1950,8890
1976,3300,3960,6280,5540,2970,2430,2450,9080,8090
1977,3500,6560,6240,2320,2450,2340,2345,5840,11250
1978,18500,9580,34600,18550,8250,6680,2605,1950,9180
1979,25500,18700,10600,7900,4650,3730,13500,2170,4475
1980,10300,18050,10200,6210,4490,2430,2370,19700,17750
1981,1980,2280,3100,2865,2640,2370,2405,2030,2105
1982,9310,2335,6290,17750,5140,3270,2495,1820,1685
1983,18000,21400,19000,6135,4180,2890,2125,2850,7170
1984,20000,20100,14500,7060,6360,8690,4220,2280,2305
1985,4020,2540,4880,2445,2280,6190,2480,1800,3430
1986,4910,3210,5990,2470,2660,2380,2590,2340,20000
1987,20400,19900,29800,8465,2640,2520,19950,2040,1025
1988,1140,6040,6840,2705,2170,2310,2590,3650,3665
1989,16400,9495,20000,14800,15000,6390,8315,1980,4975
1990,11000,15450,9990,18950,4170,3090,2115,18800,8180
1991,14800,19950,9300,7260,2740,2990,2045,14100,9305
1992,6940,6930,9270,8875,3980,2650,2635,2190,2615
1993,20100,35100,9270,8840,3960,2180,2140,2910,9055
1994,20100,20200,6070,5320,4000,8490,2225,1620,2160
1995,8530,4645,4550,9365,20600,3480,2190,2350,4975
1996,14200,8595,9660,9265,3660,8450,34700,3220,8115
1997,16300,7900,14500,7520,4050,3110,2825,18200,6860
1998,24800,18900,19000,6410,3790,2870,3135,2310,5840
1999,2020,6530,5900,3395,2940,3020,8245,2570,1825
2000,3470,8575,6080,8015,3750,3170,5745,8550,2850
2001,4060,10290,4860,7705,3630,3350,3190,2840,2650
2002,1900,1990,2600,2630,3730,2730,2530,2110,2010
2003,21300,33800,20100,24300,24300,14400,9635,2420,6265
2004,2980,8055,8000,8065,4740,8460,11200,9610,8195
2005,8170,8280,6740,6590,3510,3520,2830,11200,7995
2006,2320,3255,4290,3050,7250,3180,2795,2610,2875
2007,5520,11150,5700,2840,2900,2520,1990,7370,11650
2008,2400,7830,10200,4015,3060,2350,2365,1880,2100
2009,5320,8290,8140,15200,3380,3110,3525,2020,2270
2010,12400,14300,6390,6805,2440,3360,3875,2050,18350
2011,8320,8375,6300,5075,2450,2340,3195,3620,5465
2012,3340,6855,5420,4200,3070,3550,3500,2130,2250
2013,6640,9160,13700,9925,15200,4760,2885,2060,2315
2014,7380,10750,15100,4525,3640,3730,3420,2130,2745
2015,6920,10550,3870,3720,3640,2770,4280,2420,2180
2016,12100,8010,21200,9660,5470,4860,4135,8460,19400
2017,2900,6950,26900,13400,3580,4150,3625,9690,3430
2018,4480,9925,18000,5060,3000,8640,17500,2720,2325
2019,19800,13800,8760,10760,5130,2930,2325,29000,24400
2020,5230,11350,12700,,,,,,
