Year,March,April,May,June,July,August,September,October,November
1972,994,1550,6570,1840,17300,1650,1910,1930,1090
1973,1050,18000,5770,2000,1940,2330,1830,2100,1370
1974,942,1910,5900,1890,1930,2260,2280,1860,917
1975,1250,6470,6190,2330,2330,2300,2330,1710,1160
1976,1200,2310,2270,2340,2430,2300,2350,1800,1230
1977,1170,2320,2270,2270,2310,2290,2240,2300,1150
1978,8180,2300,18700,2300,2330,2330,2270,1690,1710
1979,18600,7010,6120,2260,2260,2260,2500,1730,1120
1980,1120,9530,6070,2220,2290,2310,2270,6100,5190
1981,1130,2240,2240,2200,2350,2280,2270,1750,1190
1982,1160,2150,5940,8650,2350,2280,2320,1690,1160
1983,9300,20300,8090,2040,2050,2070,2080,1520,1540
1984,19900,19600,6140,2010,2030,2110,2080,1680,1030
1985,1150,2060,1990,2070,2020,2160,2090,1600,1060
1986,1040,2260,2220,2140,2210,2070,2070,1670,2050
1987,13200,2830,13900,2130,2060,2100,2060,1700,974
1988,984,1410,5610,2020,2040,2100,2010,1710,983
1989,6840,4350,7270,2370,2820,2050,2700,1490,1020
1990,1620,5830,6710,2000,1990,2010,1970,1830,1780
1991,2270,7760,7200,2070,2000,2020,2020,1820,1240
1992,1070,4160,6750,2050,1970,1940,2040,1760,1040
1993,15100,21600,8050,2050,2050,2040,2020,1580,1520
1994,18400,7940,5930,5270,2130,2000,2020,1530,1530
1995,1780,4590,4440,3980,3790,2590,2080,2150,1740
1996,1790,5050,6640,5300,2160,2190,22200,2060,7880
1997,9240,6670,7510,7460,3150,2240,2290,7840,1900
1998,19000,17200,18800,2480,3040,2280,2090,1640,1000
1999,1520,1540,4480,2340,2010,2610,2020,1990,1490
2000,1960,8180,3950,3410,2640,2870,2680,3710,1990
2001,1950,5380,3890,2590,2550,2580,2130,2370,2150
2002,1870,1870,2020,2590,2600,2500,2450,2000,1970
2003,14900,24100,11700,20000,14300,11300,6770,2240,2220
2004,2070,2870,5980,4110,2750,3900,6730,6240,7660
2005,6090,7590,6520,2960,2740,2840,2250,8030,5030
2006,2270,2240,4230,2910,2920,2450,2200,2010,1760
2007,2120,7500,5380,2520,2120,2190,1720,2100,1760
2008,2300,3860,6680,2800,2240,2200,2020,1510,1530
2009,2840,8030,7080,6850,2290,2310,2210,1860,1820
2010,8240,8220,5250,2980,2140,2170,2300,1660,1690
2011,2240,6360,5140,2690,2200,2190,1850,1900,1850
2012,2520,5450,5170,2810,2240,2240,1870,1680,1700
2013,3590,7700,7240,5000,5220,2450,1960,1860,1790
2014,3720,8000,4910,2760,2030,2050,2090,1840,1840
2015,6240,8280,2800,2770,2640,2420,1760,1860,1850
2016,9920,5250,5420,3680,2950,2800,2290,1800,3750
2017,2650,4310,10700,3520,2350,2810,1920,2670,2470
2018,2380,5680,6640,3210,2600,2620,2470,2310,2270
2019,8390,7870,5390,4390,2710,2260,1640,10100,14000
2020,4600,7700,7960,,,,,,
