Year,March,April,May,June,July,August,September,October,November
1972,15,17,11,13,12,13,12,13,11
1973,14,8,13,11,14,15,12,9,10
1974,16,11,10,15,12,11,7,17,17
1975,11,16,12,10,9,14,10,13,12
1976,17,13,14,17,15,20,8,12,16
1977,20,11,14,18,18,18,13,9,10
1978,16,13,16,10,21,17,12,13,14
1979,13,10,13,18,14,16,6,17,19
1980,10,10,10,15,16,13,11,8,10
1981,14,19,13,17,12,16,10,15,14
1982,14,10,20,9,19,16,14,18,18
1983,9,13,6,16,14,21,14,18,11
1984,8,14,7,13,16,14,12,13,16
1985,16,17,14,14,15,10,13,14,14
1986,16,13,18,18,16,18,12,13,14
1987,14,11,13,19,10,12,7,13,15
1988,14,11,15,14,18,15,10,17,13
1989,12,11,9,8,9,16,9,15,14
1990,10,11,14,10,12,12,13,16,10
1991,11,11,14,12,15,14,8,10,16
1992,18,10,13,12,16,15,7,17,13
1993,9,12,14,13,14,12,9,15,15
1994,14,13,14,19,13,16,7,16,7
1995,13,13,17,13,14,10,10,13,13
1996,8,14,6,10,14,13,11,19,19
1997,18,9,3,17,17,16,9,13,14
1998,8,6,11,9,18,17,8,16,14
1999,16,10,13,13,18,11,9,10,11
2000,14,12,9,16,17,17,11,19,15
2001,18,7,11,12,19,19,8,17,15
2002,12,9,13,8,11,17,7,18,11
2003,9,10,7,11,8,6,5,9,12
2004,19,12,10,13,14,10,12,14,18
2005,17,8,12,13,13,17,13,15,18
2006,9,11,10,14,12,14,16,16,14
2007,9,7,8,10,13,14,10,15,10
2008,12,12,8,14,17,8,8,18,14
2009,14,12,8,10,14,18,15,14,19
2010,15,12,13,13,13,17,10,12,12
2011,15,8,9,11,13,17,11,14,18
2012,9,14,12,9,16,20,9,17,14
2013,13,12,7,8,11,14,10,19,12
2014,11,8,7,13,14,14,8,17,15
2015,11,11,4,14,16,15,8,13,17
2016,15,11,10,11,17,14,10,14,12
2017,13,10,6,11,17,17,9,15,14
2018,13,8,9,12,14,11,9,10,19
2019,10,9,10,6,14,15,13,9,8
2020,12,9,7,,,,,,
