Year,March,April,May,June,July,August,September,October,November
1972,2430,3770,1800,1850,100,1790,465,2010,200
1973,1300,100,600,1615,1270,2630,1890,2300,1540
1974,2900,1590,2380,270,190,1990,300,100,2440
1975,1550,200,800,4450,100,200,300,60,2900
1976,4660,1380,70,1450,1235,40,120,1510,1490
1977,3080,2840,45,40,1165,40,90,1300,3700
1978,500,2100,100,2800,1610,1585,1325,780,2300
1979,100,100,1100,2020,2170,2265,2770,875,1120
1980,1710,100,950,2495,1600,725,80,200,1800
1981,1065,95,330,820,610,70,150,370,1345
1982,1695,600,590,600,2120,2610,200,460,990
1983,1400,200,150,1280,1605,2390,50,1485,2995
1984,100,100,1200,1600,4160,2970,1360,620,2455
1985,1470,55,190,230,900,1160,450,320,1780
1986,2875,1165,65,270,160,210,760,1050,600
1987,400,1000,100,2540,290,180,300,105,261.5
1988,195,140,790,1170,60,820,605,1490,2530
1989,2720,620,100,1640,1300,2505,2120,850,2470
1990,1720,200,670,500,1280,1445,130,300,2210
1991,2640,250,45,965,2260,1550,20,175,1695
1992,2130,120,75,2350,1130,680,710,530,760
1993,600,100,100,600,1145,170,90,2050,960
1994,100,100,35,20,1010,1870,335,1030,200
1995,30,10,25,100,400,40,510,460,1020
1996,1040,50,640,65,270,600,300,480,140
1997,800,625,70,60,1845,550,160,150,3545
1998,300,100,100,1750,385,330,250,320,815
1999,50,30,80,40,1850,20,280,45,305
2000,1360,100,40,115,810,220,1195,535,760
2001,2870,90,40,320,610,750,430,830,515
2002,10,10,20,10,230,130,10,510,20
2003,550,200,150,100,100,400,410,100,760
2004,445,95,40,80,405,1000,1470,540,130
2005,360,50,10,30,370,410,595,400,245
2006,10,40,20,150,3500,480,900,460,320
2007,20,200,15,80,30,555,60,1850,1715
2008,40,80,100,55,1615,645,90,350,160
2009,775,55,40,250,925,420,600,345,660
2010,200,100,60,95,980,450,1630,235,825
2011,175,220,30,70,700,770,945,1070,665
2012,80,65,100,55,405,1000,770,535,550
2013,80,100,100,1200,300,725,580,515,70
2014,300,230,450,165,630,495,1700,170,85
2015,280,250,35,200,520,675,1235,325,100
2016,200,70,555,200,1235,1720,865,280,1100
2017,80,250,550,300,1240,370,590,895,215
2018,100,165,1030,1860,1510,1590,3130,270,40
2019,100,750,90,500,430,590,290,500,300
2020,95,100,600,,,,,,
