"","year","month","median.monthly.flow","max.monthly.flow","date.of.monthly.max.flow","monthly.fall.rate","monthly.rise.rate","monthly.reversals","monthly.inflows","inflows.upperquartile","inflows.lowerquartile","date","minDO.oakcity","minDO.jamesville","days.over.10k","days.over.15k","days.over.20k","days.over.30k"
"1","1972",3,8200,14200,63,3590,2430,15,7754.32258064516,0,0,1972-03-01,NA,NA,13,0,0,0
"2","1972",4,8405,17600,101,2590,3770,17,10095.0666666667,0,0,1972-04-01,NA,NA,13,1,0,0
"3","1972",5,19400,19600,138,410,1800,11,15429.2580645161,1,0,1972-05-01,NA,NA,28,22,0,0
"4","1972",6,9050,23700,182,1395,1850,13,21836.3333333333,1,0,1972-06-01,NA,NA,14,10,5,0
"5","1972",7,19700,23500,183,400,100,12,9185,1,0,1972-07-01,NA,NA,31,31,14,0
"6","1972",8,8640,18000,215,2890,1790,13,4074.8064516129,0,0,1972-08-01,NA,NA,13,8,0,0
"7","1972",9,2545,13000,258,1370,465,12,3635.96666666667,0,0,1972-09-01,NA,NA,3,0,0,0
"8","1972",10,10800,19900,298,600,2010,13,10569.8387096774,1,0,1972-10-01,NA,NA,22,14,0,0
"9","1972",11,19800,20000,316,2440,200,11,16667.4333333333,1,0,1972-11-01,NA,NA,20,10,0,0
"10","1973",3,14500,19700,83,1300,1300,14,18096.064516129,1,0,1973-03-01,NA,NA,25,14,0,0
"11","1973",4,19500,19600,103,100,100,8,19434.0666666667,1,0,1973-04-01,NA,NA,30,30,0,0
"12","1973",5,14500,19800,129,1500,600,13,10871.9677419355,1,0,1973-05-01,NA,NA,22,14,0,0
"13","1973",6,9425,13200,164,2560,1615,11,7693.4,1,0,1973-06-01,NA,NA,13,0,0,0
"14","1973",7,8160,16000,191,2185,1270,14,4981.12903225806,1,0,1973-07-01,NA,NA,8,1,0,0
"15","1973",8,8540,17800,242,700,2630,15,6912.93548387097,1,0,1973-08-01,NA,NA,10,3,0,0
"16","1973",9,2210,13900,269,250,1890,12,2963.13333333333,0,0,1973-09-01,NA,NA,4,0,0,0
"17","1973",10,13500,19600,281,3350,2300,9,3156.22580645161,0,0,1973-10-01,NA,NA,1,0,0,0
"18","1973",11,14200,19600,335,3300,1540,10,3210.6,0,0,1973-11-01,NA,NA,2,0,0,0
"19","1974",3,6300,14000,85,4399,2900,16,8903.77419354839,0,0,1974-03-01,NA,NA,9,0,0,0
"20","1974",4,14550,17700,108,1295,1590,11,12022.2666666667,0,0,1974-04-01,NA,NA,22,10,0,0
"21","1974",5,10500,15700,129,3585,2380,10,8066.29032258064,0,0,1974-05-01,NA,NA,17,2,0,0
"22","1974",6,5840,14700,162,1090,270,15,5220.23333333333,0,0,1974-06-01,NA,NA,10,0,0,0
"23","1974",7,2310,19400,190,300,190,12,3918,0,0,1974-07-01,NA,NA,9,4,0,0
"24","1974",8,4300,13600,234,2240,1990,11,5113.64516129032,1,0,1974-08-01,NA,NA,6,0,0,0
"25","1974",9,14050,19400,259,1850,300,7,12933.3333333333,1,0,1974-09-01,NA,NA,19,12,0,0
"26","1974",10,2080,10600,278,140,100,17,2694.41935483871,0,0,1974-10-01,NA,NA,6,0,0,0
"27","1974",11,3365,11100,315,2572,2440,17,2757.56666666667,0,0,1974-11-01,NA,NA,14,5,0,0
"28","1975",3,18800,35300,91,1410,1550,11,35219.1935483871,1,0,1975-03-01,NA,NA,23,17,12,6
"29","1975",4,35100,35600,105,200,200,16,12277.1666666667,0,0,1975-04-01,NA,NA,28,25,25,24
"30","1975",5,6550,15700,122,600,800,12,7526.32258064516,0,0,1975-05-01,NA,NA,11,2,0,0
"31","1975",6,8155,18900,156,2830,4450,10,6560.93333333333,0,0,1975-06-01,NA,NA,13,4,0,0
"32","1975",7,18500,19400,197,100,100,9,13992.6774193548,1,0,1975-07-01,NA,NA,19,17,0,0
"33","1975",8,11600,18700,220,820,200,14,3883.87096774194,0,0,1975-08-01,NA,NA,18,8,0,0
