"","date","median.flow.3monthlag","max.flow.3monthlag","date.of.max.flow.3monthlag","fall.rate.3monthlag","rise.rate.3monthlag","reversals.3monthlag","inflows.3monthlag","inflows.upperqtl.3monthlag","inflows.lowerqtl.3monthlag","minDO.oakcity.3monthlag","minDO.jamesville.3monthlag","days.over.10k.3monthlag","days.over.15k.3monthlag","days.over.20k.3monthlag","days.over.30k.3monthlag","median.flow.2monthlag","max.flow.2monthlag","date.of.max.flow.2monthlag","fall.rate.2monthlag","rise.rate.2monthlag","reversals.2monthlag","inflows.2monthlag","inflows.upperqtl.2monthlag","inflows.lowerqtl.2monthlag","minDO.oakcity.2monthlag","minDO.jamesville.2monthlag","days.over.10k.2monthlag","days.over.15k.2monthlag","days.over.20k.2monthlag","days.over.30k.2monthlag","median.flow.1monthlag","max.flow.1monthlag","date.of.max.flow.1monthlag","fall.rate.1monthlag","rise.rate.1monthlag","reversals.1monthlag","inflows.1monthlag","inflows.upperqtl.1monthlag","inflows.lowerqtl.1monthlag","minDO.oakcity.1monthlag","minDO.jamesville.1monthlag","days.over.10k.1monthlag","days.over.15k.1monthlag","days.over.20k.1monthlag","days.over.30k.1monthlag","median.monthly.flow","max.monthly.flow","date.of.monthly.max.flow","monthly.fall.rate","monthly.rise.rate","monthly.reversals","monthly.inflows","inflows.upperquartile","inflows.lowerquartile","minDO.oakcity","minDO.jamesville","days.over.10k","days.over.15k","days.over.20k","days.over.30k"
"1",1972-06-01,8200,14200,63,3590,2430,15,7754.32258064516,0,0,NA,NA,13,0,0,0,8405,17600,101,2590,3770,17,10095.0666666667,0,0,NA,NA,13,1,0,0,19400,19600,138,410,1800,11,15429.2580645161,1,0,NA,NA,28,22,0,0,9050,23700,182,1395,1850,13,21836.3333333333,1,0,NA,NA,14,10,5,0
"2",1972-07-01,8405,17600,101,2590,3770,17,10095.0666666667,0,0,NA,NA,13,1,0,0,19400,19600,138,410,1800,11,15429.2580645161,1,0,NA,NA,28,22,0,0,9050,23700,182,1395,1850,13,21836.3333333333,1,0,NA,NA,14,10,5,0,19700,23500,183,400,100,12,9185,1,0,NA,NA,31,31,14,0
"3",1972-08-01,19400,19600,138,410,1800,11,15429.2580645161,1,0,NA,NA,28,22,0,0,9050,23700,182,1395,1850,13,21836.3333333333,1,0,NA,NA,14,10,5,0,19700,23500,183,400,100,12,9185,1,0,NA,NA,31,31,14,0,8640,18000,215,2890,1790,13,4074.8064516129,0,0,NA,NA,13,8,0,0
"4",1972-09-01,9050,23700,182,1395,1850,13,21836.3333333333,1,0,NA,NA,14,10,5,0,19700,23500,183,400,100,12,9185,1,0,NA,NA,31,31,14,0,8640,18000,215,2890,1790,13,4074.8064516129,0,0,NA,NA,13,8,0,0,2545,13000,258,1370,465,12,3635.96666666667,0,0,NA,NA,3,0,0,0
"5",1972-10-01,19700,23500,183,400,100,12,9185,1,0,NA,NA,31,31,14,0,8640,18000,215,2890,1790,13,4074.8064516129,0,0,NA,NA,13,8,0,0,2545,13000,258,1370,465,12,3635.96666666667,0,0,NA,NA,3,0,0,0,10800,19900,298,600,2010,13,10569.8387096774,1,0,NA,NA,22,14,0,0
"6",1972-11-01,8640,18000,215,2890,1790,13,4074.8064516129,0,0,NA,NA,13,8,0,0,2545,13000,258,1370,465,12,3635.96666666667,0,0,NA,NA,3,0,0,0,10800,19900,298,600,2010,13,10569.8387096774,1,0,NA,NA,22,14,0,0,19800,20000,316,2440,200,11,16667.4333333333,1,0,NA,NA,20,10,0,0
"7",1972-12-01,2545,13000,258,1370,465,12,3635.96666666667,0,0,NA,NA,3,0,0,0,10800,19900,298,600,2010,13,10569.8387096774,1,0,NA,NA,22,14,0,0,19800,20000,316,2440,200,11,16667.4333333333,1,0,NA,NA,20,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1973-01-01,10800,19900,298,600,2010,13,10569.8387096774,1,0,NA,NA,22,14,0,0,19800,20000,316,2440,200,11,16667.4333333333,1,0,NA,NA,20,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1973-02-01,19800,20000,316,2440,200,11,16667.4333333333,1,0,NA,NA,20,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1973-06-01,14500,19700,83,1300,1300,14,18096.064516129,1,0,NA,NA,25,14,0,0,19500,19600,103,100,100,8,19434.0666666667,1,0,NA,NA,30,30,0,0,14500,19800,129,1500,600,13,10871.9677419355,1,0,NA,NA,22,14,0,0,9425,13200,164,2560,1615,11,7693.4,1,0,NA,NA,13,0,0,0
