date,year,month,station,control1,surtemp,bottemp,sursal,botsal,surdo,botdo,combined.A.shad.index,combined.alewife.index,combined.blueback.index,juv.A.shad.index,juv.alewife.index,juv.blueback.index,avg.daily.flow,temperature.jamesville,specific.cond.jamesville,DO.jamesville,temperature.oakcity,specific.cond.oakcity,DO.oakcity,temp.C.max.top.westover,temp.C.min.top.westover,temp.C.mean.top.westover,temp.C.max.bottom.westover,temp.C.min.bottom.westover,temp.C.mean.bottom.westover
1972-08-15,1972,8,39S,7200438,29,29,0,0,NA,NA,0,0,9,0,0,0,9630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972-08-30,1972,8,46S,7200418,27,27,0,0,NA,NA,0,0,0,0,0,0,12200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972-09-12,1972,9,127S,7200752,24,24,0,0,NA,NA,0,61,3987,0,0,0,2370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972-09-12,1972,9,126S,7200781,24,24,NA,NA,NA,NA,0,0,0,0,0,0,2370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972-09-13,1972,9,129S,7200782,24,24,0,0,NA,NA,0,0,0,0,0,0,11300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972-09-13,1972,9,130S,7200791,25,25,0,0,NA,NA,0,0,0,0,0,0,11300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972-10-03,1972,10,39S,7200825,22,22,0,0,NA,NA,0,0,24,0,0,0,2890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972-10-04,1972,10,127S,7200865,21,21,0,0,NA,NA,2,3,28,0,0,0,4590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972-10-12,1972,10,130S,7200165,19,NA,0,NA,NA,NA,0,0,86,0,0,0,19300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972-10-12,1972,10,46S,7200832,21,21,0,0,NA,NA,0,0,0,0,0,0,19300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972-10-12,1972,10,47S,7200833,16.7,16.7,0,0,NA,NA,1,0,16,0,0,0,19300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972-10-12,1972,10,48S,7200840,17,17,0,0,NA,NA,0,0,3,0,0,0,19300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
