year,male.CPUE,female.CPUE,total.CPUE
2000,36.58217925,5.226025608,41.80820486
2001,51.40712946,7.317073171,58.72420263
2002,29.06626506,14.90963855,43.97590361
2003,29.66625464,12.73176761,42.39802225
2004,40.2739726,9.04109589,49.31506849
2005,84.23913043,7.880434783,92.11956522
2006,81.44329897,5.841924399,87.28522337
2007,83.47826087,12.75362319,96.23188406
2008,101.497006,32.63473054,134.1317365
2009,113.091922,31.47632312,144.5682451
2010,49.43639291,5.958132045,55.39452496
2011,62.23,10.49,72.66288952
2012,132.5337331,12.29385307,144.8275862
2013,73.32361516,33.52769679,106.851312
2014,39.5280236,38.49557522,78.02359882
2015,19.10739191,14.64435146,33.75174338
2016,11.76470588,5.076551168,16.84125705
2017,35.99640934,10.32315978,46.31956912
2018,37.46031746,11.00529101,48.46560847
2019,67.31958763,20.41237113,87.73195876
