,station,date,Temp C max top,Temp C min top,Temp C mean top,Temp C max bottom,Temp C min bottom,Temp C mean bottom
USGS,208114150,11/26/97,,,,11.6,11,11.3
USGS,208114150,11/27/97,,,,11.5,11,11.3
USGS,208114150,11/28/97,,,,11.3,10.9,11.1
USGS,208114150,11/29/97,,,,11.2,10.8,11
USGS,208114150,11/30/97,,,,11.5,11,11.3
USGS,208114150,12/1/97,,,,11.9,11.3,11.5
USGS,208114150,12/2/97,,,,11.3,10.7,11
USGS,208114150,12/3/97,,,,11.1,10.6,10.8
USGS,208114150,12/4/97,,,,11.2,10.8,11
USGS,208114150,12/5/97,,,,11.2,10.7,11
USGS,208114150,12/6/97,,,,10.7,9.8,10.3
USGS,208114150,12/7/97,,,,9.9,9.4,9.6
USGS,208114150,12/8/97,,,,9.7,9,9.4
USGS,208114150,12/9/97,,,,9.6,9.2,9.3
USGS,208114150,12/10/97,,,,9.2,9,9.1
USGS,208114150,12/11/97,,,,9.1,8.8,8.9
USGS,208114150,12/12/97,,,,9.1,8.9,9
USGS,208114150,12/13/97,,,,9,8.7,8.8
USGS,208114150,12/14/97,,,,8.9,8.5,8.7
USGS,208114150,12/15/97,,,,8.5,7.9,8.2
USGS,208114150,12/16/97,,,,8.4,7.9,8.2
USGS,208114150,12/17/97,,,,,,
USGS,208114150,12/18/97,,,,,,
USGS,208114150,12/19/97,,,,,,
USGS,208114150,12/20/97,,,,,,
USGS,208114150,12/21/97,,,,,,
USGS,208114150,12/22/97,,,,,,
USGS,208114150,12/23/97,,,,,,
USGS,208114150,12/24/97,,,,,,
USGS,208114150,12/25/97,,,,,,
USGS,208114150,12/26/97,,,,,,
USGS,208114150,12/27/97,,,,,,
USGS,208114150,12/28/97,,,,,,
USGS,208114150,12/29/97,,,,,,
USGS,208114150,12/30/97,,,,,,
USGS,208114150,12/31/97,,,,,,
USGS,208114150,1/1/98,,,,,,
USGS,208114150,1/2/98,,,,,,
USGS,208114150,1/3/98,,,,,,
USGS,208114150,1/4/98,,,,,,
USGS,208114150,1/5/98,,,,,,
USGS,208114150,1/6/98,,,,,,
USGS,208114150,1/7/98,,,,,,
USGS,208114150,1/8/98,,,,,,
USGS,208114150,1/9/98,,,,,,
USGS,208114150,1/10/98,,,,,,
USGS,208114150,1/11/98,,,,,,
USGS,208114150,1/12/98,,,,,,
USGS,208114150,1/13/98,,,,,,
USGS,208114150,1/14/98,,,,,,
USGS,208114150,1/15/98,,,,,,
USGS,208114150,1/16/98,,,,,,
USGS,208114150,1/17/98,,,,,,
USGS,208114150,1/18/98,,,,,,
USGS,208114150,1/19/98,,,,,,
USGS,208114150,1/20/98,,,,,,
USGS,208114150,1/21/98,,,,,,
USGS,208114150,1/22/98,,,,,,
USGS,208114150,1/23/98,,,,,,
USGS,208114150,1/24/98,,,,,,
USGS,208114150,1/25/98,,,,,,
USGS,208114150,1/26/98,,,,,,
USGS,208114150,1/27/98,,,,,,
USGS,208114150,1/28/98,,,,,,
USGS,208114150,1/29/98,,,,,,
USGS,208114150,1/30/98,,,,,,
USGS,208114150,1/31/98,,,,,,
USGS,208114150,2/1/98,,,,,,
USGS,208114150,2/2/98,,,,,,
USGS,208114150,2/3/98,,,,,,
USGS,208114150,2/4/98,,,,,,
USGS,208114150,2/5/98,,,,,,
USGS,208114150,2/6/98,,,,,,
USGS,208114150,2/7/98,,,,,,
USGS,208114150,2/8/98,,,,,,
USGS,208114150,2/9/98,,,,,,
USGS,208114150,2/10/98,,,,,,
USGS,208114150,2/11/98,,,,,,
USGS,208114150,2/12/98,,,,,,
USGS,208114150,2/13/98,,,,,,
USGS,208114150,2/14/98,,,,,,
USGS,208114150,2/15/98,,,,,,
USGS,208114150,2/16/98,,,,,,
USGS,208114150,2/17/98,,,,,,
USGS,208114150,2/18/98,,,,,,
USGS,208114150,2/19/98,,,,,,
USGS,208114150,2/20/98,,,,,,
USGS,208114150,2/21/98,,,,,,
USGS,208114150,2/22/98,,,,,,
USGS,208114150,2/23/98,,,,,,
USGS,208114150,2/24/98,,,,,,
USGS,208114150,2/25/98,,,,,,
USGS,208114150,2/26/98,,,,,,
USGS,208114150,2/27/98,,,,,,
USGS,208114150,2/28/98,,,,,,
USGS,208114150,3/1/98,,,,,,
USGS,208114150,3/2/98,,,,,,
USGS,208114150,3/3/98,,,,,,
USGS,208114150,3/4/98,,,,11,10.2,10.4
USGS,208114150,3/5/98,,,,10.5,9.8,10.1
USGS,208114150,3/6/98,,,,10.5,9.7,10.1
USGS,208114150,3/7/98,,,,10.6,9.8,10.1
USGS,208114150,3/8/98,,,,11.2,10,10.6
USGS,208114150,3/9/98,,,,12.9,11.1,11.9
USGS,208114150,3/10/98,,,,12.8,11.8,12.2
USGS,208114150,3/11/98,,,,11.9,10.2,10.9
USGS,208114150,3/12/98,,,,10.6,9.2,9.7
USGS,208114150,3/13/98,,,,10,8.5,8.9
USGS,208114150,3/14/98,,,,9.4,8.2,8.7
USGS,208114150,3/15/98,,,,10,9.1,9.5
USGS,208114150,3/16/98,,,,10.6,8.5,9.5
USGS,208114150,3/17/98,,,,9.1,8.2,8.5
USGS,208114150,3/18/98,,,,9.8,8.1,8.8
USGS,208114150,3/19/98,,,,10.8,9.6,10.3
USGS,208114150,3/20/98,,,,11.8,10.6,10.9
USGS,208114150,3/21/98,,,,11.7,10.9,11.3
USGS,208114150,3/22/98,,,,12.8,11,11.3
USGS,208114150,3/23/98,,,,11.6,10.1,11.1
USGS,208114150,3/24/98,,,,11.3,10.5,11
USGS,208114150,3/25/98,,,,10.7,10.2,10.4
USGS,208114150,3/26/98,,,,12.1,10.7,11.3
USGS,208114150,3/27/98,,,,13.8,12.1,12.9
USGS,208114150,3/28/98,,,,15,13.8,14.4
USGS,208114150,3/29/98,,,,16.2,15,15.6
USGS,208114150,3/30/98,,,,17.1,16.2,16.7
USGS,208114150,3/31/98,,,,17.9,17.1,17.5
USGS,208114150,4/1/98,,,,18,17.8,17.9
USGS,208114150,4/2/98,,,,18.3,17.6,17.9
USGS,208114150,4/3/98,,,,18.3,17.2,17.8
USGS,208114150,4/4/98,,,,17.2,15.6,16.5
USGS,208114150,4/5/98,,,,15.6,14.6,14.9
USGS,208114150,4/6/98,,,,14.7,14.2,14.5
USGS,208114150,4/7/98,,,,15,14.5,14.7
USGS,208114150,4/8/98,,,,16.3,15,15.7
USGS,208114150,4/9/98,,,,17,16.3,16.7
USGS,208114150,4/10/98,,,,16.9,15.8,16.5
USGS,208114150,4/11/98,,,,15.8,15,15.2
USGS,208114150,4/12/98,,,,15.2,14.9,15.1
USGS,208114150,4/13/98,,,,15.1,14.8,15
USGS,208114150,4/14/98,,,,15.1,14.7,14.9
USGS,208114150,4/15/98,,,,15.8,14.7,15.1
USGS,208114150,4/16/98,,,,16.8,15.8,16.3
USGS,208114150,4/17/98,,,,17.6,16.8,17.2
USGS,208114150,4/18/98,,,,17.6,17.2,17.5
USGS,208114150,4/19/98,,,,17.2,16.6,16.9
USGS,208114150,4/20/98,,,,17.6,17,17.3
USGS,208114150,4/21/98,,,,17.4,16.8,17.2
USGS,208114150,4/22/98,,,,16.8,15.8,16.4
USGS,208114150,4/23/98,,,,15.8,15.3,15.5
USGS,208114150,4/24/98,,,,15.9,15.3,15.6
USGS,208114150,4/25/98,,,,16.5,15.6,16
USGS,208114150,4/26/98,,,,17.1,16.3,16.7
USGS,208114150,4/27/98,,,,17.1,16.6,17
USGS,208114150,4/28/98,,,,16.6,16,16.3
USGS,208114150,4/29/98,,,,16.5,15.9,16.2
USGS,208114150,4/30/98,,,,16.6,16.1,16.4
USGS,208114150,5/1/98,,,,17.2,16.5,16.8
USGS,208114150,5/2/98,,,,17.9,17.1,17.4
USGS,208114150,5/3/98,,,,18.3,17.5,17.9
USGS,208114150,5/4/98,,,,18.8,18.1,18.4
USGS,208114150,5/5/98,,,,18.5,18.2,18.4
USGS,208114150,5/6/98,,,,19,18.2,18.6
USGS,208114150,5/7/98,,,,,,
USGS,208114150,5/8/98,,,,19.5,18.7,19.1
USGS,208114150,5/9/98,,,,19.3,18.9,19.1
USGS,208114150,5/10/98,,,,18.9,18.5,18.7
USGS,208114150,5/11/98,,,,18.7,17.9,18.3
USGS,208114150,5/12/98,,,,,,
USGS,208114150,5/13/98,,,,,,
USGS,208114150,5/14/98,,,,16.6,15.9,16.2
USGS,208114150,5/15/98,,,,17.4,16.4,16.8
USGS,208114150,5/16/98,,,,18.4,17,17.7
USGS,208114150,5/17/98,,,,18.6,18.1,18.3
USGS,208114150,5/18/98,,,,19.3,18.4,18.8
USGS,208114150,5/19/98,,,,,,
USGS,208114150,5/20/98,,,,,,
USGS,208114150,5/21/98,,,,,,
USGS,208114150,5/22/98,,,,,,
USGS,208114150,5/23/98,,,,,,
USGS,208114150,5/24/98,,,,,,
USGS,208114150,5/25/98,,,,,,
USGS,208114150,5/26/98,,,,,,
USGS,208114150,5/27/98,,,,22.4,21.8,22.1
USGS,208114150,5/28/98,,,,22.4,21.8,22.1
USGS,208114150,5/29/98,,,,22.4,21.6,22
USGS,208114150,5/30/98,,,,22.9,22,22.4
USGS,208114150,5/31/98,,,,23.3,22.5,22.9
USGS,208114150,6/1/98,,,,23.6,23,23.2
USGS,208114150,6/2/98,,,,23.6,23,23.3
USGS,208114150,6/3/98,,,,24,23,23.5
USGS,208114150,6/4/98,,,,23.9,23.4,23.7
USGS,208114150,6/5/98,,,,23.4,23,23.1
USGS,208114150,6/6/98,,,,23,22.2,22.6
USGS,208114150,6/7/98,,,,22.2,21.5,21.8
USGS,208114150,6/8/98,,,,21.5,21,21.2
USGS,208114150,6/9/98,,,,21.1,20.9,21
USGS,208114150,6/10/98,,,,21.5,20.8,21.1
USGS,208114150,6/11/98,,,,22,21.3,21.6
USGS,208114150,6/12/98,,,,22.6,21.8,22.2
USGS,208114150,6/13/98,,,,23.5,22.5,22.9
USGS,208114150,6/14/98,,,,23.8,23,23.4
USGS,208114150,6/15/98,,,,24.3,23.5,23.9
USGS,208114150,6/16/98,,,,24.9,24,24.4
USGS,208114150,6/17/98,,,,25.7,24.7,25.1
USGS,208114150,6/18/98,,,,26.1,25.2,25.5
USGS,208114150,6/19/98,,,,26.1,25.7,25.8
USGS,208114150,6/20/98,,,,26.2,25.5,25.8
USGS,208114150,6/21/98,,,,26.3,26,26.1
USGS,208114150,6/22/98,,,,26.9,26.1,26.4
USGS,208114150,6/23/98,,,,27,26.7,26.8
USGS,208114150,6/24/98,,,,27.9,26.9,27.2
USGS,208114150,6/25/98,,,,28.2,27.4,27.7
USGS,208114150,6/26/98,,,,29.2,28,28.5
USGS,208114150,6/27/98,,,,29.3,28.8,29.1
USGS,208114150,6/28/98,,,,29.1,28.2,28.5
USGS,208114150,6/29/98,,,,28.9,28.2,28.4
USGS,208114150,6/30/98,,,,28.9,28.2,28.6
USGS,208114150,7/1/98,,,,29.2,28.4,28.8
USGS,208114150,7/2/98,,,,29.2,28.9,29
USGS,208114150,7/3/98,,,,29.2,28.8,29
USGS,208114150,7/4/98,,,,29.2,28.6,28.9
USGS,208114150,7/5/98,,,,29,28.5,28.7
USGS,208114150,7/6/98,,,,29,28.3,28.6
USGS,208114150,7/7/98,,,,28.8,28.3,28.5
USGS,208114150,7/8/98,,,,29,28.4,28.6
USGS,208114150,7/9/98,,,,29.1,28.7,28.8
USGS,208114150,7/10/98,,,,29.1,28.5,28.8
